,영화명,감독,개봉일,국가,스크린수,관객수,관람가,장르,개봉연도,개봉월,흥행
326,1번가의 기적,윤제균,2007-02-14,한국,0,2750457,15세이상,드라마,2007,2,1
327,메이즈 러너: 스코치 트라이얼,웨스 볼,2015-09-16,미국,804,2744413,12세이상,액션,2015,9,1
328,가디언즈 오브 갤럭시 VOL. 2,제임스 건,2017-05-03,미국,1218,2735719,12세이상,액션,2017,5,1
329,시라노; 연애조작단,김현석,2010-09-16,한국,402,2731828,12세이상,멜로/로맨스,2010,9,1
330,핸콕,피터 버그,2008-07-02,미국,602,2723518,12세이상,액션,2008,7,1
331,내가 살인범이다,정병길,2012-11-08,한국,547,2721903,19세이상,액션,2012,11,1
332,나우 유 씨 미 : 마술사기단,루이스 리테리어,2013-08-22,미국,691,2718227,12세이상,범죄,2013,8,1
333,미스 페레그린과 이상한 아이들의 집,팀 버튼,2016-09-28,미국,904,2718158,12세이상,미스터리,2016,9,1
334,적벽대전 2 : 최후의 결전,오우삼,2009-01-22,중국,426,2713031,15세이상,액션,2009,1,1
335,지.아이.조 : 전쟁의 서막,스티븐 소머즈,2009-08-06,미국,446,2706748,15세이상,액션,2009,8,1
336,타이탄,루이스 리테리어,2010-04-01,미국,694,2685508,12세이상,액션,2010,4,1
337,곤지암,정범식,2018-03-28,한국,1124,2675559,15세이상,공포(호러),2018,3,1
338,소원,이준익,2013-10-02,한국,641,2663170,12세이상,드라마,2013,10,1
339,살인자의 기억법,원신연,2017-09-06,한국,1064,2656694,15세이상,범죄,2017,9,1
340,브레이킹 던 part2,빌 콘돈,2012-11-15,미국,665,2654817,15세이상,드라마,2012,11,1
341,탐정 : 더 비기닝,김정훈,2015-09-24,한국,764,2625686,15세이상,코미디,2015,9,1
342,미니언즈,피에르 꼬팽,2015-07-29,미국,792,2625572,전체,애니메이션,2015,7,1
343,후궁 : 제왕의 첩,김대승,2012-06-06,한국,624,2621436,19세이상,사극,2012,6,1
344,트랜스포머: 최후의 기사,마이클 베이,2017-06-21,미국,1739,2614601,12세이상,액션,2017,6,1
345,제이슨 본,폴 그린그래스,2016-07-27,미국,827,2611966,15세이상,액션,2016,7,1
346,드래곤 길들이기,딘 데블로이스,2010-05-20,미국,562,2603857,전체,애니메이션,2010,5,1
347,지금 만나러 갑니다,이장훈,2018-03-14,한국,1163,2602273,12세이상,멜로/로맨스,2018,3,1
348,도리를 찾아서,앤드류 스탠튼,2016-07-06,미국,1091,2601734,전체,애니메이션,2016,7,1
349,위험한 상견례,김진영,2011-03-31,한국,524,2595625,12세이상,코미디,2011,3,1
350,아수라,김성수,2016-09-28,한국,1278,2594028,19세이상,범죄,2016,9,1
354,굿모닝 프레지던트,장진,2009-10-22,한국,586,2583294,전체,코미디,2009,10,1
355,음란서생,김대우,2006-02-23,한국,0,2576022,18세이상,사극,2006,2,1
356,보안관,김형주,2017-05-03,한국,1091,2571491,15세이상,범죄,2017,5,1
357,내 머리 속의 지우개,이재한,2004-11-05,한국,0,2565078,12세이상,멜로/로맨스,2004,11,1
358,기술자들,김홍선,2014-12-24,한국,641,2564340,15세이상,범죄,2014,12,1
359,퍼시픽 림,길예르모 델 토로,2013-07-11,미국,1005,2539114,12세이상,액션,2013,7,1
360,내 생애 가장 아름다운 일주일,민규동,2005-10-07,한국,0,2533103,15세이상,멜로/로맨스,2005,10,1
361,엑스맨: 퍼스트 클래스,매튜 본,2011-06-02,미국,587,2532306,12세이상,액션,2011,6,1
362,정글북,존 파브로,2016-06-09,미국,924,2532051,12세이상,애니메이션,2016,6,1
366,해리포터와 아즈카반의 죄수,알폰소 쿠아론,2004-07-16,미국,0,2532000,전체,드라마,2004,7,1
367,목격자,조규장,2018-08-15,한국,1021,2524086,15세이상,스릴러,2018,8,1
376,패션 오브 크라이스트,멜 깁슨,2004-04-02,미국,0,2523700,15세이상,드라마,2004,4,1
377,마이펫의 이중생활,크리스 리노드,2016-08-03,미국,726,2517805,전체,애니메이션,2016,8,1
378,증인,이한,2019-02-13,한국,1047,2516128,12세이상,드라마,2019,2,1
379,조작된 도시,박광현,2017-02-09,한국,1019,2512572,15세이상,범죄,2017,2,1
380,"나니아 연대기-사자,마녀 그리고 옷장",앤드류 아담슨,2005-12-29,미국,0,2505133,전체,가족,2005,12,1
381,터미네이터 3,조나단 모스토우,2003-07-25,미국,0,2491354,15세이상,SF,2003,7,1
382,우리 형,안권태,2004-10-08,한국,0,2479585,15세이상,드라마,2004,10,1
383,박수칠 때 떠나라,장진,2005-08-11,한국,0,2475291,15세이상,드라마,2005,8,1
384,선생 김봉두,장규성,2003-03-28,한국,0,2472135,12세이상,코미디,2003,3,1
385,반창꼬,정기훈,2012-12-19,한국,466,2471721,15세이상,멜로/로맨스,2012,12,1
386,블랙머니,정지영,2019-11-13,한국,1117,2465678,12세이상,범죄,2019,11,1
387,보스 베이비,톰 맥그라스,2017-05-03,미국,1116,2450023,전체,애니메이션,2017,5,1
388,화차,변영주,2012-03-08,한국,548,2435211,15세이상,미스터리,2012,3,1
389,이웃사람,김휘,2012-08-22,한국,600,2434099,19세이상,스릴러,2012,8,1
390,광식이 동생 광태,김현석,2005-11-23,한국,0,2430200,15세이상,코미디,2005,11,1
391,조선명탐정: 흡혈괴마의 비밀,김석윤,2018-02-08,한국,1249,2424330,12세이상,사극,2018,2,1
392,재심,김태윤,2017-02-15,한국,935,2420729,15세이상,드라마,2017,2,1
393,신비한 동물들과 그린델왈드의 범죄,데이빗 예이츠,2018-11-14,미국,1601,2414062,12세이상,판타지,2018,11,1
394,터미네이터: 다크 페이트,팀 밀러,2019-10-30,미국,1315,2410227,15세이상,액션,2019,10,1
395,히트맨,최원섭,2020-01-22,한국,1122,2406232,15세이상,코미디,2020,1,1
399,사바하,장재현,2019-02-20,한국,1174,2397792,15세이상,미스터리,2019,2,1
400,의뢰인,손영성,2011-09-29,한국,522,2393086,15세이상,스릴러,2011,9,1
401,화이: 괴물을 삼킨 아이,장준환,2013-10-09,한국,817,2391963,19세이상,액션,2013,10,1
402,테이큰,피에르 모렐,2008-04-09,프랑스,254,2379830,19세이상,범죄,2008,4,1
403,007 스카이폴,샘 멘데스,2012-10-26,미국,748,2376145,15세이상,액션,2012,10,1
404,스파이더맨 2,샘 레이미,2004-06-30,미국,0,2367704,12세이상,SF,2004,6,1
405,가문의 영광4 - 가문의 수난,정태원,2011-09-07,한국,537,2363955,15세이상,코미디,2011,9,1
406,블라인드,안상훈,2011-08-10,한국,404,2362906,19세이상,스릴러,2011,8,1
410,박열,이준익,2017-06-28,한국,1176,2359174,12세이상,드라마,2017,6,1
411,맨발의 기봉이,권수경,2006-04-26,한국,0,2347311,전체,드라마,2006,4,1
412,바람의 파이터,양윤호,2004-08-12,한국,0,2346446,12세이상,액션,2004,8,1
413,작업의 정석,오기환,2005-12-21,한국,0,2342232,15세이상,코미디,2005,12,1
414,첫사랑 사수 궐기 대회,오종록,2003-06-27,한국,0,2339410,12세이상,코미디,2003,6,1
415,미인도,전윤수,2008-11-13,한국,463,2325715,19세이상,사극,2008,11,1
416,라스트 갓파더,심형래,2010-12-29,한국,547,2316099,12세이상,코미디,2010,12,1
417,모아나,론 클레멘츠,2017-01-12,미국,953,2310054,전체,애니메이션,2017,1,1
418,테이큰 2,올리비에 메가턴,2012-09-27,프랑스,682,2308596,19세이상,액션,2012,9,1
419,하녀,임상수,2010-05-13,한국,577,2304487,19세이상,스릴러,2010,5,1
420,메이즈 러너: 데스 큐어,웨스 볼,2018-01-17,미국,1090,2299732,12세이상,액션,2018,1,1
421,"달콤, 살벌한 연인",손재곤,2006-04-06,한국,0,2286745,18세이상,스릴러,2006,4,1
422,맘마미아!2,올 파커,2018-08-08,미국,750,2285143,12세이상,뮤지컬,2018,8,1
423,호빗: 스마우그의 폐허,피터 잭슨,2013-12-12,미국,811,2282744,12세이상,어드벤처,2013,12,1
424,나잇&데이,제임스 맨골드,2010-06-24,미국,501,2282191,15세이상,액션,2010,6,1
425,혈의 누,김대승,2005-05-04,한국,0,2274995,18세이상,스릴러,2005,5,1
426,컨저링,제임스 완,2013-09-17,미국,553,2262758,15세이상,공포(호러),2013,9,1
427,슈렉 포에버,마이크 미첼,2010-07-01,미국,561,2261356,전체,애니메이션,2010,7,1
428,극락도 살인사건,김한민,2007-04-12,한국,0,2259511,15세이상,공포(호러),2007,4,1
429,이글 아이,D.J. 카루소,2008-10-09,미국,330,2258369,12세이상,액션,2008,10,1
430,배트맨 대 슈퍼맨: 저스티스의 시작,잭 스나이더,2016-03-24,미국,1709,2256913,12세이상,액션,2016,3,1
431,레디 플레이어 원,스티븐 스필버그,2018-03-28,미국,1079,2254430,12세이상,액션,2018,3,1
432,위대한 유산,오상훈,2003-10-24,한국,0,2251491,15세이상,코미디,2003,10,1
436,배틀쉽,피터 버그,2012-04-11,미국,736,2241687,12세이상,SF,2012,4,1
437,매트릭스3 레볼루션,릴리 워쇼스키,2003-11-05,미국,0,2240000,15세이상,SF,2003,11,1
438,셜록홈즈 : 그림자 게임,가이 리치,2011-12-21,미국,370,2239156,15세이상,액션,2011,12,1
439,박쥐,박찬욱,2009-04-30,한국,462,2237271,19세이상,공포(호러),2009,4,1
443,7광구,김지훈,2011-08-04,한국,812,2232179,15세이상,SF,2011,8,1
444,타짜: 원 아이드 잭,권오광,2019-09-11,한국,1429,2227671,19세이상,범죄,2019,9,1
445,어거스트 러쉬,커스틴 쉐리단,2007-11-29,미국,0,2218573,전체,드라마,2007,11,1
446,나는 전설이다,프란시스 로렌스,2007-12-12,미국,0,2215883,12세이상,SF,2007,12,1
447,포세이돈,볼프강 페터젠,2006-05-31,미국,0,2214600,12세이상,SF,2006,5,1
451,셜록 홈즈,가이 리치,2009-12-23,미국,377,2207751,12세이상,미스터리,2009,12,1
452,싱글즈,권칠인,2003-07-11,한국,0,2203042,15세이상,코미디,2003,7,1
453,007 퀀텀 오브 솔러스,마크 포스터,2008-11-05,미국,518,2201300,15세이상,액션,2008,11,1
454,내 여자친구를 소개합니다,곽재용,2004-06-03,한국,0,2199359,15세이상,멜로/로맨스,2004,6,1
455,마당을 나온 암탉,오성윤,2011-07-28,한국,345,2199048,전체,애니메이션,2011,7,1
456,댄서의 순정,박영훈,2005-04-28,한국,0,2197555,12세이상,드라마,2005,4,1
457,악의 연대기,백운학,2015-05-14,한국,776,2192243,15세이상,스릴러,2015,5,1
458,강남 1970,유하,2015-01-21,한국,841,2192172,19세이상,액션,2015,1,1
459,바르게 살자,라희찬,2007-10-18,한국,0,2190250,15세이상,코미디,2007,10,1
460,늑대의 유혹,김태균,2004-07-22,한국,0,2189453,12세이상,드라마,2004,7,1
461,이상한 나라의 앨리스,팀 버튼,2010-03-04,미국,401,2182365,전체,공연,2010,3,1
463,맨 오브 스틸,잭 스나이더,2013-06-13,미국,998,2182227,12세이상,SF,2013,6,1
464,황해,나홍진,2010-12-22,한국,618,2167426,19세이상,스릴러,2010,12,1
465,원더 우먼,팻티 젠킨스,2017-05-31,미국,1034,2165401,12세이상,액션,2017,5,1
466,초능력자,김민석,2010-11-10,한국,622,2164805,15세이상,SF,2010,11,1
467,내 사랑 내 곁에,박진표,2009-09-24,한국,474,2160265,12세이상,드라마,2009,9,1
468,신의 한 수: 귀수편,리건,2019-11-07,한국,1246,2146764,15세이상,범죄,2019,11,1
469,마이 웨이,강제규,2011-12-21,한국,645,2142622,15세이상,전쟁,2011,12,1
470,겟 아웃,조던 필,2017-05-17,미국,945,2138146,15세이상,공포(호러),2017,5,1
471,나의 사랑 나의 신부,임찬상,2014-10-08,한국,629,2135614,15세이상,멜로/로맨스,2014,10,1
472,범죄의 재구성,최동훈,2004-04-15,한국,0,2129358,18세이상,스릴러,2004,4,1
473,사랑,곽경택,2007-09-19,한국,0,2123815,15세이상,멜로/로맨스,2007,9,1
474,세븐 데이즈,원신연,2007-11-14,한국,297,2120741,19세이상,스릴러,2007,11,1
475,굿바이 싱글,김태곤,2016-06-29,한국,841,2108273,15세이상,코미디,2016,6,1
476,이클립스,데이빗 슬레이드,2010-07-07,미국,535,2105050,12세이상,판타지,2010,7,1
477,사생결단,최호,2006-04-27,한국,0,2104716,18세이상,액션,2006,4,1
478,엑스맨 : 최후의 전쟁,브렛 래트너,2006-06-15,미국,0,2096180,12세이상,SF,2006,6,1
479,몽타주,정근섭,2013-05-16,한국,540,2095375,15세이상,스릴러,2013,5,1
480,색즉시공 시즌2,윤태윤,2007-12-12,한국,0,2088134,19세이상,코미디,2007,12,1
481,명당,박희곤,2018-09-19,한국,1117,2087474,12세이상,사극,2018,9,1
482,논스톱,자움 콜렛 세라,2014-02-27,미국,582,2084457,15세이상,액션,2014,2,1
483,내부자들: 디 오리지널,우민호,2015-12-31,한국,838,2083999,19세이상,범죄,2015,12,1
484,쩨쩨한 로맨스,김정훈,2010-12-01,한국,463,2080574,19세이상,코미디,2010,12,1
485,장화신은 고양이,크리스 밀러,2012-01-12,미국,593,2080154,전체,애니메이션,2012,1,1
486,인투 더 스톰,스티븐 쿼일,2014-08-28,미국,585,2078492,12세이상,액션,2014,8,1
487,로건,제임스 맨골드,2017-03-01,미국,954,2070084,19세이상,액션,2017,3,1
488,청춘만화,이한,2006-03-23,한국,0,2066354,12세이상,코미디,2006,3,1
489,눈에는 눈 이에는 이,곽경택,2008-07-31,한국,445,2058764,15세이상,범죄,2008,7,1
490,뷰티 인사이드,백,2015-08-20,한국,648,2053947,12세이상,판타지,2015,8,1
491,본 얼티메이텀,폴 그린그래스,2007-09-12,미국,0,2052800,12세이상,액션,2007,9,1
492,혹성탈출: 종의 전쟁,맷 리브스,2017-08-15,미국,1017,2050909,12세이상,액션,2017,8,1
493,아라한 장풍대작전,류승완,2004-04-30,한국,0,2050000,12세이상,액션,2004,4,1
494,비열한 거리,유하,2006-06-15,한국,0,2047808,18세이상,액션,2006,6,1
495,봉이 김선달,박대민,2016-07-06,한국,942,2044564,12세이상,사극,2016,7,1
496,노아,대런 아로노프스키,2014-03-20,미국,952,2026574,15세이상,어드벤처,2014,3,1
497,캐리비안의 해적 : 블랙펄의 저주,고어 버빈스키,2003-09-05,미국,0,2010460,12세이상,어드벤처,2003,9,1
498,레버넌트: 죽음에서 돌아온 자,알레한드로 곤잘레스 이냐리투,2016-01-14,미국,967,2007180,15세이상,어드벤처,2016,1,1
499,오페라의 유령,조엘 슈마허,2004-12-08,미국,0,2006880,12세이상,뮤지컬,2004,12,1
500,페르시아의 왕자: 시간의 모래,마이크 뉴웰,2010-05-27,미국,570,2003533,12세이상,액션,2010,5,1
501,박물관이 살아있다 2,숀 레비,2009-06-04,미국,569,2002526,전체,어드벤처,2009,6,1
502,천문: 하늘에 묻는다,허진호,2019-12-26,한국,1198,2000490,12세이상,사극,2019,12,1
503,테넷,크리스토퍼 놀란,2020-08-26,미국,2228,1990908,12세이상,액션,2020,8,1
504,시실리 2km,신정원,2004-08-13,한국,0,1987380,15세이상,코미디,2004,8,1
505,남자가 사랑할 때,한동욱,2014-01-22,한국,531,1979311,15세이상,멜로/로맨스,2014,1,1
506,효자동 이발사,임찬상,2004-05-05,한국,0,1972377,15세이상,드라마,2004,5,1
507,루시,뤽 베송,2014-09-03,미국,641,1971837,19세이상,액션,2014,9,1
508,협상,이종석,2018-09-19,한국,919,1967721,15세이상,범죄,2018,9,1
509,알리타: 배틀 엔젤,로버트 로드리게즈,2019-02-05,미국,1043,1949372,12세이상,액션,2019,2,1
510,뉴 문,크리스 웨이츠,2009-12-02,미국,532,1949027,12세이상,판타지,2009,12,1
511,천사와 악마,론 하워드,2009-05-14,미국,558,1936321,15세이상,미스터리,2009,5,1
512,애나벨 : 인형의 주인,데이비드 F. 샌드버그,2017-08-10,미국,1006,1934192,15세이상,공포(호러),2017,8,1
513,가족,이정철,2004-09-03,한국,0,1932304,15세이상,드라마,2004,9,1
514,컨저링 2,제임스 완,2016-06-09,미국,635,1926201,15세이상,공포(호러),2016,6,1
515,터보,데이빗 소렌,2013-07-25,미국,634,1923748,전체,애니메이션,2013,7,1
516,애자,정기훈,2009-09-09,한국,262,1922634,15세이상,드라마,2009,9,1
517,잠복근무,박광춘,2005-03-17,한국,0,1914941,15세이상,코미디,2005,3,1
518,그림자 살인,박대민,2009-04-02,한국,387,1914779,15세이상,미스터리,2009,4,1
519,영웅,장예모,2003-01-24,중국,0,1910000,12세이상,사극,2003,1,1
520,#살아있다,조일형,2020-06-24,한국,1882,1903703,15세이상,드라마,2020,6,1
521,내안의 그놈,강효진,2019-01-09,한국,1041,1901684,15세이상,판타지,2019,1,1
522,수어사이드 스쿼드,데이비드 에이어,2016-08-03,미국,823,1898121,15세이상,액션,2016,8,1
523,오늘의 연애,박진표,2015-01-14,한국,709,1891993,15세이상,멜로/로맨스,2015,1,1
524,글러브,강우석,2011-01-20,한국,605,1888100,전체,드라마,2011,1,1
525,러브 액츄얼리,리차드 커티스,2003-12-05,미국,0,1887000,15세이상,멜로/로맨스,2003,12,1
526,라디오 스타,이준익,2006-09-28,한국,0,1879501,12세이상,드라마,2006,9,1
527,퍼시 잭슨과 번개 도둑,크리스 콜럼버스,2010-02-11,미국,353,1877226,12세이상,판타지,2010,2,1
528,해결사,권혁재,2010-09-09,한국,524,1873327,15세이상,액션,2010,9,1
537,"색, 계",이안,2007-11-08,미국,0,1866900,19세이상,드라마,2007,11,1
538,연애의 온도,노덕,2013-03-21,한국,567,1865195,19세이상,멜로/로맨스,2013,3,1
539,아이들...,이규만,2011-02-17,한국,504,1864408,15세이상,범죄,2011,2,1
540,마약왕,우민호,2018-12-19,한국,1297,1864076,19세이상,범죄,2018,12,1
541,테이큰 3,올리비에 메가턴,2015-01-01,미국,616,1860934,15세이상,액션,2015,1,1
542,구세주,김정우,2006-02-16,한국,0,1858668,15세이상,코미디,2006,2,1
543,조폭마누라2-돌아온 전설,정흥순,2003-09-05,한국,0,1858077,15세이상,액션,2003,9,1
544,코리아,문현성,2012-05-03,한국,537,1857392,12세이상,드라마,2012,5,1
545,지.아이.조 2,존 추,2013-03-28,미국,766,1855917,15세이상,액션,2013,3,1
